;SMCA;QDMDC;PCPDMC (Low);PCPDMC (Medium);PCPDMC (High);MCPDMC (Low,WAVG);MCPDMC (Medium,WAVG);MCPDMC (High,WAVG);MCPDMC (Low,SWITCH);MCPDMC (Medium,SWITCH);MCPDMC (High,SWITCH);FCN-L-SMCA;FCN-M-SMCA;FCN-S-SMCA;LSTM-L-SMCA;LSTM-M-SMCA;LSTM-S-SMCA;GRU-L-SMCA;GRU-M-SMCA;GRU-S-SMCA;FCN-L-QDMDC;FCN-M-QDMDC;FCN-S-QDMDC;LSTM-L-QDMDC;LSTM-M-QDMDC;LSTM-S-QDMDC;GRU-L-QDMDC;GRU-M-QDMDC;GRU-S-QDMDC;FCN-L-PCPDMC (Low);FCN-M-PCPDMC (Low);FCN-S-PCPDMC (Low);FCN-L-PCPDMC (Medium);FCN-M-PCPDMC (Medium);FCN-S-PCPDMC (Medium);FCN-L-PCPDMC (High);FCN-M-PCPDMC (High);FCN-S-PCPDMC (High);LSTM-L-PCPDMC (Low);LSTM-M-PCPDMC (Low);LSTM-S-PCPDMC (Low);LSTM-L-PCPDMC (Medium);LSTM-M-PCPDMC (Medium);LSTM-S-PCPDMC (Medium);LSTM-L-PCPDMC (High);LSTM-M-PCPDMC (High);LSTM-S-PCPDMC (High);GRU-L-PCPDMC (Low);GRU-M-PCPDMC (Low);GRU-S-PCPDMC (Low);GRU-L-PCPDMC (Medium);GRU-M-PCPDMC (Medium);GRU-S-PCPDMC (Medium);GRU-L-PCPDMC (High);GRU-M-PCPDMC (High);GRU-S-PCPDMC (High)
FCN-M-QDMDC;2.3832439291931907e-25;1.2629209375883373e-15;2.2228391126921284e-24;8.414849390210361e-24;7.213159327846015e-17;1.516144606020795e-17;2.490332511181777e-14;0.001404688954063119;1.534055377593162e-14;8.346600618860495e-12;0.018357453415295422;1.3992058925386872e-12;1.6830006027840217e-10;5.003234983464248e-19;0.025883743108464002;0.7604354482135576;4.859326748648448e-11;0.3069815110442013;0.08120524483412074;7.761210182649768e-08;0.681284975677736;;2.4826024709352476e-05;3.132348148950637e-10;5.549032436113793e-15;6.459995726388522e-30;4.457029611242003e-15;9.16929172254308e-10;6.378057580673523e-23;0.001989877564506028;0.0016338847874303056;0.013925838468092722;0.022734875326457155;0.02246854716986041;0.11022333469206569;0.4754140500118964;0.6259670327258107;0.01838649111795153;0.8360153439065321;0.5252731360004731;0.033675731695812616;0.6694136863045321;7.309376445726466e-13;0.0001024039998797757;0.006920789753589633;0.0002576221063431299;1.4096689438577936e-13;0.753799156381378;0.1992352516848505;0.05876315814906517;0.4428360077361979;0.49804949260970255;0.0392402448319768;0.0027572166212349457;0.0002891271077588481;1.453552833651462e-09
FCN-S-QDMDC;1.3879038250822091e-33;7.340202819255592e-23;4.54771358324719e-32;2.7121028993464444e-31;5.177950726098336e-23;4.185812056082613e-24;2.1742860640450965e-20;2.5332306328223643e-06;3.340719071531747e-20;8.099451456094354e-17;0.00025934458933441097;1.941559057780807e-17;5.433167425720153e-15;9.76846252853159e-26;0.6287309876390292;0.041262409447154404;2.9965804081335027e-07;0.48654878404142876;0.9768150604842778;0.00011497667298849832;0.0031465541878866604;2.4826024709352476e-05;;0.000295255471604626;1.1377809621966934e-06;4.680544625314384e-28;1.2282810859144272e-06;0.00036133027643526106;7.2068488648849515e-16;2.806865433866324e-06;1.596854103163248e-06;1.8743124868642437e-05;0.00017330008555893842;0.0001325529908627588;0.0012400370461627872;0.5050896840012032;0.3699993417284575;0.24770747901954046;0.23459194185984192;0.4286806751395462;0.5063278250383338;0.06421838881955114;2.4276873541535602e-11;0.006723011745393473;0.12346188241180817;0.011756318326588137;3.2072185278464964e-11;0.24067053784051784;0.907843683599606;0.5681757953670429;0.5539957711896226;0.4692483566003689;0.45174418781560843;0.07146983918331695;0.011990012568784776;2.2991287126391615e-07
LSTM-L-QDMDC;3.580690940029998e-44;2.7713338222516004e-33;1.7357573151765136e-45;7.727795271869176e-44;1.6159992245071386e-31;1.1940897462256317e-35;3.468202904477438e-30;3.239553686299877e-11;3.888030820537795e-30;2.7300433191485123e-25;2.7602609124611222e-08;3.1349593956402554e-32;3.723980860604293e-28;1.0946475078906237e-40;0.000924756087146909;3.294142915339385e-11;0.020532821702304603;5.539085792192156e-07;0.00016557837535034815;0.49164643826968946;3.1800079453233464e-11;3.132348148950637e-10;0.000295255471604626;;0.13156810106721747;1.8367201255244057e-26;0.016170647508563122;0.5912078805787814;7.413462446737023e-07;1.6604848334839567e-12;1.8163201425486451e-12;4.806075832113873e-11;3.261475223615511e-09;2.3523288564400324e-09;8.60030277926897e-08;0.005397378567375861;0.0024015704595774156;0.2800488829964365;7.351176079663767e-05;0.0003388566437955791;0.03169197046522508;3.1166584799140036e-06;4.697652327702845e-09;0.719325371172594;0.5402255715643004;0.7636209375241703;1.4909059037503595e-05;2.762132686323408e-05;0.00617619579601837;0.059653892658034974;0.0012971169348300884;0.0007815077973790084;0.08467570490176127;0.7033783082045253;0.7648108842587487;0.0023477309792100842
LSTM-M-QDMDC;8.757953269647754e-51;1.1392376348964312e-37;7.856146688421252e-52;7.184689794385133e-50;1.460641307716416e-36;3.962438215463538e-41;1.2604808577605153e-34;3.5821004267584334e-13;1.4285822265175554e-34;6.747172857166347e-29;9.558675509717165e-10;1.6147805217638766e-37;1.310198395071827e-32;6.447606226908655e-48;1.917920512376337e-05;6.3722715293724945e-15;0.07242138725255494;2.751729257151814e-10;8.935826330430517e-07;0.9312716816505711;1.2487894763377918e-15;5.549032436113793e-15;1.1377809621966934e-06;0.13156810106721747;;8.507361005605059e-26;0.5183867356259617;0.011392749667157987;1.205549867619267e-05;5.50278389536401e-15;9.490109524673807e-15;1.6714671820021413e-13;2.6784866774508337e-11;1.7881703398077246e-11;9.752199582778855e-10;0.0006509072694151133;0.0002501360610999501;0.10816898815175173;3.3636607884506018e-06;1.721376567273013e-05;0.0032909876161845335;9.022997418643447e-08;1.6046240298467376e-08;0.8463566539578056;0.2573956449553336;0.8448624278936084;7.124822956470712e-05;1.084215615319566e-06;0.0005282289891243215;0.010050532304811434;8.336537514977519e-05;3.553404497848954e-05;0.017421154621926702;0.36916779235529384;0.8449506323467901;0.008264432491352993
LSTM-S-QDMDC;2.7512541487456946e-41;5.140644996413359e-38;9.503295078218441e-42;6.573144280219588e-42;3.68728395210558e-39;1.8167779288347147e-39;2.8283893619364e-38;2.4078832057892026e-31;3.076713612991497e-38;3.937078820297902e-37;4.814373821732211e-30;2.2528978201333697e-37;3.1084373448353314e-36;7.056346152473583e-39;3.089814200490183e-29;7.281930981807534e-31;7.981098093651667e-24;2.3921956976185878e-30;3.268256181018319e-29;5.245707096630645e-25;3.9069836337319054e-30;6.459995726388522e-30;4.680544625314384e-28;1.8367201255244057e-26;8.507361005605059e-26;;3.130935474360935e-25;2.1118013588262106e-26;2.9515574360405906e-23;1.6855950027908717e-32;1.378851798910101e-32;1.4501835086894707e-31;1.7888615868901812e-31;2.8438010222719417e-31;3.1334274354299148e-30;1.4163451919071618e-27;1.2266585008785554e-27;1.084184904749526e-24;9.998028175147296e-29;5.171052288502596e-28;1.389126415351442e-26;1.681083386991259e-29;1.4228767901931094e-14;1.1029779983568336e-23;7.468269488586604e-25;1.0028245029645477e-23;2.515766082519176e-18;6.167106385893527e-29;2.4242346564473995e-27;2.448316440346396e-26;4.4899614617318145e-28;7.230753357542028e-28;5.99055816312323e-26;6.588291019280616e-25;7.489456232090221e-24;5.948468479976581e-20
GRU-L-QDMDC;1.8186430828422116e-47;1.9028548838543226e-35;1.2366096519221732e-48;6.96766015222767e-47;2.810012361250223e-34;5.8344179799512894e-39;5.507995553207956e-33;5.305705665032045e-13;4.23451310774051e-33;6.917672963000987e-28;1.0555750280047262e-09;1.7255107216769435e-36;6.711404667224114e-32;1.8177140184410136e-46;6.657413229988257e-06;2.9400531977597947e-15;0.17677112888241783;8.528739398641753e-10;5.657067152369054e-07;0.7001502459216036;1.5715473352476831e-16;4.457029611242003e-15;1.2282810859144272e-06;0.016170647508563122;0.5183867356259617;3.130935474360935e-25;;0.008227697471217833;0.0007700630398321764;9.990528084443131e-15;1.9677134593841293e-14;2.929562252729539e-13;3.363229136674672e-11;2.6420223679723927e-11;1.3267691367596726e-09;0.0004793038473346269;0.00019586714056035653;0.08150995709368847;3.354348326232024e-06;1.3843010879956827e-05;0.0025343155637957784;7.953782645267595e-08;3.2999593639742145e-08;0.6917210340860738;0.2027621039892067;0.7056929163454655;0.0002585245705246532;8.970966372675426e-07;0.00042064326615572024;0.008162899634930214;6.616789994843945e-05;3.298897619615577e-05;0.01269104012515684;0.2923646371589504;0.7052085998104678;0.01787485255996019
GRU-M-QDMDC;8.562439195680249e-48;6.879260533899654e-36;1.0359764570291791e-48;5.91397415529275e-47;3.98557945417755e-34;7.585726990846548e-38;1.2819619652480618e-31;2.661745431384098e-11;1.0602244309662326e-31;2.6450141236676387e-26;2.6991913590308467e-08;2.6972245366510804e-33;2.367529121614792e-29;6.827154826414031e-44;0.003098227590233952;3.1414067035022795e-11;0.0039050850473382305;1.5561494617585123e-06;0.0001768799120900115;0.2728183191024305;1.5344579011809058e-09;9.16929172254308e-10;0.00036133027643526106;0.5912078805787814;0.011392749667157987;2.1118013588262106e-26;0.008227697471217833;;1.0951672649914816e-11;4.377846673412251e-12;3.3991623012203163e-12;6.010429598316623e-11;4.000481648370226e-09;3.1430304801888715e-09;6.56362021516726e-08;0.006617252641184701;0.0029074864422440286;0.3464133250666088;0.00011134984064338872;0.0005895508057264109;0.04509655195237856;3.603637667857388e-06;3.4891583408170377e-09;0.565093403864085;0.6434464391723229;0.617697905735533;3.4695510985927774e-06;5.982165707689118e-05;0.008452602250877411;0.07712677951907922;0.0018527319611062012;0.0009591548520164733;0.11079207283961567;0.8298089323767264;0.6180459774912685;0.0008520956560188933
GRU-S-QDMDC;1.0266399242516541e-60;3.0229113108052033e-50;1.6205250746526375e-60;2.0819584259159515e-59;4.690474315028595e-45;5.756905062708127e-50;2.7712773256158676e-44;1.1996586751157912e-18;1.9864637698089127e-42;7.859798726408463e-37;5.455829367587398e-14;3.727821966469367e-43;6.92534560085365e-38;1.5841132753500318e-58;1.854236533523684e-10;7.471358209373991e-25;0.4041577672644431;1.2489953547954212e-15;8.5696202096863e-15;0.0019312954379886586;1.9207062936906984e-21;6.378057580673523e-23;7.2068488648849515e-16;7.413462446737023e-07;1.205549867619267e-05;2.9515574360405906e-23;0.0007700630398321764;1.0951672649914816e-11;;7.190762992505594e-20;8.360355593101975e-20;1.2877018286409972e-19;1.0132251900564913e-15;3.853667589922392e-16;7.306749498216807e-16;9.964577404590225e-07;1.9043206260020724e-07;0.0013430620733601351;2.6530755007262277e-10;2.4675894106685706e-09;5.104570371217963e-07;1.6107360265500605e-12;7.454612086216906e-07;0.040891362054249265;0.006875162899817183;0.06857483606286857;0.012577693771143674;2.1823648652920532e-11;1.93788835332213e-07;2.056118753312556e-05;2.506287528393836e-08;5.40434315292154e-09;3.0912204568669484e-05;0.012731991219234661;0.06596826318321786;0.2845874506799731
FCN-L-PCPDMC (Low);4.217009235867169e-15;4.0776865271504974e-07;1.7934109127333775e-19;2.8980657755109154e-19;3.9655770034087644e-11;6.927714034676052e-10;5.0451086438276625e-08;0.518168129818162;3.672969079238341e-08;1.8291192786972282e-06;0.9944592147888265;0.0001141739436970591;0.006391173474931217;2.245003847653314e-07;3.6966348357019618e-06;0.008592383142193042;2.364505591000305e-16;0.0001614065730519851;1.6604365500231696e-05;1.7213295507232635e-13;0.0016376288461575808;0.001989877564506028;2.806865433866324e-06;1.6604848334839567e-12;5.50278389536401e-15;1.6855950027908717e-32;9.990528084443131e-15;4.377846673412251e-12;7.190762992505594e-20;;0.5312718578506513;0.05476014456561862;0.30274579598685597;0.2684114234129429;0.023699609653268932;4.6962247706433045e-05;0.00011823600228831443;3.201196003332891e-09;1.1170367940289119e-05;5.821388301319362e-09;5.45342425359175e-16;0.002035214196698329;2.175294822574165e-18;3.0947920941137085e-22;4.432249443167109e-09;8.067888494163945e-13;2.1950364759276182e-31;1.2657124094728259e-06;2.322675451167864e-13;3.052850668948483e-16;2.757448346880979e-06;3.323975352019211e-07;7.537981832400881e-14;1.1499843887297482e-10;1.070249287143904e-12;9.859455692080413e-25
FCN-M-PCPDMC (Low);3.7996721866933294e-15;5.871080467749319e-07;1.1992150406238128e-19;2.455804138311417e-19;3.9505860026055455e-11;9.1194300511599e-10;5.8225922785041746e-08;0.602848812265176;6.195361312441264e-08;2.66996399690999e-06;0.8786601364963847;0.0002926746839258003;0.010901618879617858;7.80880232536257e-07;1.8570918133152435e-06;0.005922432236725772;8.404437369061191e-17;0.00011980628691267282;1.1266212437459542e-05;8.003447805730047e-14;0.0014963524900508693;0.0016338847874303056;1.596854103163248e-06;1.8163201425486451e-12;9.490109524673807e-15;1.378851798910101e-32;1.9677134593841293e-14;3.3991623012203163e-12;8.360355593101975e-20;0.5312718578506513;;0.0021549050218665697;0.15901565484254937;0.10758043930592075;0.0022468404593883264;1.4629283213625051e-05;1.7171013443608313e-05;9.90621797395795e-11;6.342085961355317e-06;3.036471089120287e-10;3.0505054712401787e-18;0.0009505674585428541;7.989903602764724e-19;1.3223695433414406e-26;7.462026869177323e-10;6.854093221312687e-14;3.0126974366628313e-35;8.994895104476775e-07;2.6344582314794622e-15;8.048654622063112e-21;7.81201563475137e-07;3.110168589493662e-08;3.963603608662892e-18;1.3054769771334179e-11;3.527179431593886e-14;1.8756025034505886e-28
